No,Address,Balance
147,"XqAj1DBaABcGAsk4UfC6WTn7bRzUuwxf5HChto6EmVSbB5fFV", "81640000000000000"
148,"XqCuVBfiQSRAF434QUcHpsLvKYxsKk6QpgSw69SfempJTtcqy", "80000000000000000"
149,"XqFDFZCoM1SUAW3VhvLcVbHY5Gzw4fbzfSDJY3fQ5CiXxPcNh", "78286000000000000"
150,"XqBrgFBXn4FQE3HndX3CLxGQQV3jXYMtpa4B4KGckzYW7NeHG", "77140000000000000"
151,"XqCtqfAwMqTPAdRvanXNytZo3PuaGmbmtWJEQSGsZWux5rabg", "76660000000000000"
152,"XqA8ew3CHtBU8xTfFaQDd5xhLUYBnrV78CFdAGLYaAyRp1k3D", "76000000000000000"
153,"XqE5pZirkFwvWeBPTqSNoL8H8upF8w3AEDfTbv7SQ4hffwbXn", "74570000000000000"
154,"XqFVBDynN5LcJe5BKr6NANe5BEUsiRJdsQt8Zn8ep4tarVNXU", "74504000000000000"
155,"XqFZGSLuxQ9gxAJiro5U1GaEbeZokGdMnj9fs2RfWyPfAkAat", "71050000000000000"
156,"XqBW5o7bqLaStfz23bmpMgTDwPL9iHejDoTEnNh246tVgiZ16", "70040000000000000"
157,"XqCuBCL92VEojfh7KyjWuYPxRTDmn9qnLXrJ3iSzNg5s4QJG2", "65960000000000000"
158,"XqFLPX61hToKYcfaioy1zTn5a6g5rez4uBZidpTW3SqfWVm9i", "63860000000000000"
159,"XqFPHNZUqe8RdD2BbWEJ7XUoPbH2BUYHMNEyGY84uDZc8s6CK", "63670000000000000"
160,"XqECijhD1wrM9YbRJBm43TPVZXovdkHEGak2CmNmtsL6ionQ6", "62850000000000000"
