No,Address,Balance
1,"XqAv1DqKzqwzSNnkxtef8wcBqcAEyvtPhn9xUVX2s8pnZfVkH", "12432000000000000"
2,"XqBQMYoV8Fhs7sHiGwHyswTPSTyPeZoegiBFEzHys8quAr2wG", "7027000000000000"
3,"XqFDU2igPzZWcY9Rn5eH9KGyEsxzrdXF46JGXh6mJryVvFUTv", "675000000000000000"
4,"XqEB2X67AZNNHd6wjFjNRzcKPUrPfb2s4snvnXZNn68enaMk4", "51020000000000000"
5,"XqCyowXhyXE8cXA9BxQWyP2JzLCAchF9fKRVzigHkcZRQa85L", "44110000000000000"
6,"XqEtb9e4uTWVM8pVvgGyjtu6y7ku4wWf4x6VNm56iuSvLCdf5", "53090000000000000"
7,"XqBMXj8FRya1dV8SQ8mRGFD6jjgWZfxziQrphgEq9QJYPu95d", "40000000000000000"
8,"XqC2jVeumsas16hpJgAscihkTVwnKZt7NnZhTCiCQTpx4kRxA", "36000000000000000"
9,"XqFUdu2mQAK4ebhzHEocmMuP186CzuG7fc5R2zCHMwRoFHTpJ", "10200000000000000"
10,"XqFPLs9FFKW9dAoc4uSzkZKrL5M8mtGmT28PkmkYRRHk6xase", "100100000000000000"
11,"XqDFS834czM2aNARzjNpJVS6zbYDNKo2i42LEqeHzoqFyZAtE", "51020000000000000"
12,"XqF2wz2T74jgva7NA7LftWWSxfpmftuNcxMGcbKV1BgsCUmt2", "779380000000000000"
13,"XqBBhvw8QXswkCZ1asUfUjtUjhNW3N8Qf1dtrPiHgTvh4SRy3", "1330570000000000000"
14,"XqAxjbHCuDDpBife1mYr4siLuCBJb7KEFFytSwUf2ygofkBec", "100000000000000000"
15,"XqDXM92rWW6F7mLVYoi51x5TSvgJZeV7TDEFu6kpVepUzQ1Sq", "244450000000000000"
16,"XqEkwpgJwZpad6bFszJSb4Pbkb2deuTqZM8tDiJygBNUiaUjr", "30000000000000000"
17,"XqCi2f45JfCXJFMEB9Sx92bAXP7KKFbVXREofGz2qeSyN7aEy", "300000000000000000"
18,"XqDtmjekkRDB66m9MRsE2hT2vft1FFQtTvWfn19Fg9ZN1gumf", "25000000000000000"
19,"XqES3mk6aZGJjgyA2tWeP4edzFxCQJ2XJjSjkySp4tAt1VZee", "12500000000000000"
20,"XqB6bFQfh9bWxhyzLDmgb1grTGWZAgqrDhjUSty4YKg6afTBj", "10000000000000000"
21,"XqFFyH74gv4rkk61mQXs6WEYKzVrSHvz3RJeUWS6SQhV5Xu4M", "10000000000000000"
22,"XqDQ9GasXCLhcHFLNbZiRQqcWz6WCU7kFUSMiPYtKqkqQhrpr", "100000000000000000"
23,"XqEfxpvj25RQz8436ucmnLVtnHxW3CXovNWu8YCwnxut8F5Ng", "122380000000000000"
